Name,"Sub Category","Plan","AUM","CAGR 3Y","CAGR 5Y","Sharpe Ratio","Volatility","Alpha","CAGR 10Y","Absolute Returns - 6M","Average Maturity","3Y Avg Annual Rolling Return ","Minimum Lumpsum","Expense Ratio"
SBI Liquid Fund(W-IDCW Payout),"Liquid Fund","IDCW","67084.0146","4.81005098474705","3.299045246901411","5.630687940207662","0.090484694838409","-0.13","1.6306553363911735","3.429950398692687","0.14","4.1700585317890635","0","0.18"
SBI Liquid Fund(FN-IDCW Payout),"Liquid Fund","IDCW","67084.0146","4.809766188544051","3.3235406807526235","5.630687940207662","0.090484694838409","-0.13","1.6571037914215214","3.429998053893215","0.14","4.202531516812458","0","0.18"
SBI Liquid Fund(FN-IDCW),"Liquid Fund","IDCW","67084.0146","4.809766188544051","3.3235406807526235","5.630687940207662","0.090484694838409","-0.13","1.6571037914215214","3.429998053893215","0.14","4.202531516812458","5000","0.18"
SBI Liquid Fund(W-IDCW),"Liquid Fund","IDCW","67084.0146","4.81005098474705","3.299045246901411","5.630687940207662","0.090484694838409","-0.13","1.6306553363911735","3.429950398692687","0.14","4.1700585317890635","5000","0.18"
SBI Liquid Fund,"Liquid Fund","Growth","67084.0146","4.810024310425165","5.2400980158857635","5.629100489421024","0.090484694838409","-0.13","6.566271470149232","3.4299496468480353","0.14","4.369095708639617","500","0.18"
SBI Liquid Fund(DD-IDCW),"Liquid Fund","IDCW","67084.0146","3.7317292955545422","2.6613677250846512","5.4116197316515136","0.09207214562504774","-0.13999999999999999","1.321946154367093","0.27044705317709866","0.14","3.91285014847143","5000","0.18"
HDFC Balanced Advantage Fund(IDCW),"Balanced Advantage Fund","IDCW","64319.076799999995","19.26462746915252","4.985006078487775","2.914559644268753","6.803814071533701","0","4.294718489055138","13.96920316938256","5.56","13.614229099645629","100","0.84"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","64319.076799999995","30.96527055069862","17.460140867559602","2.9129721934821142","6.8069889731069795","0","16.86689716226393","18.488806609756935","5.56","25.695943517758803","100","0.84"
HDFC Balanced Advantage Fund(IDCW-Reinv),"Balanced Advantage Fund","IDCW","64319.076799999995","19.26462746915252","4.985006078487775","2.914559644268753","6.803814071533701","0","4.294718489055138","13.96920316938256","5.56","13.614229099645629","0","0.84"
SBI Equity Hybrid Fund(IDCW-Payout),"Aggressive Hybrid Fund","IDCW","59809.684400000006","18.10716755782693","13.355820677196295","1.1604265250329295","6.446637644539982","-0.3","10.967853851689103","12.849318131008289","8.05","16.874130705353664","0","0.77"
SBI Equity Hybrid Fund(IDCW),"Aggressive Hybrid Fund","IDCW","59809.684400000006","18.10716755782693","13.355820677196295","1.1604265250329295","6.446637644539982","-0.3","10.967853851689103","12.849318131008289","8.05","16.874130705353664","1000","0.77"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","59809.684400000006","18.106611051061794","14.20606412836516","1.1604265250329295","6.446637644539982","-0.31","15.795591361764894","12.849159473173241","8.05","17.2083932879713","1000","0.77"
ICICI Pru Balanced Advantage Fund(M-IDCW Payout),"Balanced Advantage Fund","IDCW","49975.5918070787","10.714320274413303","7.709438742768171","2.200206790281314","3.8035320847864558","0","7.300525788786949","7.832512315270936","6.84","10.793789451334128","0","0.9"
ICICI Pru Balanced Advantage Fund(IDCW-Payout),"Balanced Advantage Fund","IDCW","49975.5918070787","5.809551552888315","4.972862482328666","2.2176687489343396","3.787657576920068","0","5.483469158620213","1.6297534475553723","6.84","8.79145126584262","0","0.9"
ICICI Pru Balanced Advantage Fund(M-IDCW),"Balanced Advantage Fund","IDCW","49975.5918070787","10.714320274413303","7.709438742768171","2.200206790281314","3.8035320847864558","0","7.300525788786949","7.832512315270936","6.84","10.793789451334128","0","0.9"
ICICI Pru Balanced Advantage Fund(IDCW),"Balanced Advantage Fund","IDCW","49975.5918070787","5.809551552888315","4.972862482328666","2.2176687489343396","3.787657576920068","0","5.483469158620213","1.6297534475553723","6.84","8.79145126584262","500","0.9"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","49975.5918070787","15.558952765243973","12.719447299622466","2.2081440442145075","3.800357183213178","0","13.50634223239988","9.95374336131576","6.84","15.678378701888363","500","0.9"
